N,α,α,α,α,α
1,"0,20","0,15","0,10","0,05","0,01"
2,900,925,950,975,995
3,684,726,776,842,929
4,565,597,642,708,828
5,494,525,564,624,733
6,446,474,510,565,669
7,410,436,470,521,618
8,381,405,438,486,577
9,358,381,411,457,543
10,339,360,388,432,514
11,322,342,368,410,490
12,307,326,352,391,468
13,295,313,338,375,450
14,284,302,325,361,433
15,274,292,314,349,418
16,0.266,283,304,338,404
17,258,274,295,328,392
18,250,266,286,318,381
19,244,259,278,309,371
20,237,252,272,301,363
25,231,0.246,264,294,356
30,"0,21","0,22","0,24","0,27","0,32"
35,"0,19","0,20","0,22","0,24","0,29"
36,"0,18","0,19","0,21","0,23","0,27"
Acima de 50,"1,07/√N","1,14/√N","1,22/√N","1,36/√N","1,63/√N"
