N,"0,01","0,02","0,05","0,10","0,S0","0,90","0,95","0,98","0,99"
3,753,758,767,789,959,998,999,"1,000","1,000"
4,687,707,748,792,935,987,992,996,997
S,686,715,762,806,927,979,986,991,993
6,713,743,788,826,927,974,981,936,989
7,730,760,803,838,928,972,979,985,988
8,749,778,818,851,932,972,978,984,987
9,764,791,829,859,935,972,978,984,986
10,781,806,842,869,938,972,978,983,986
11,792,817,850,876,940,973,979,984,986
12,805,828,859,883,943,973,979,984,986
13,814,837,866,889,945,974,979,984,986
14,825,846,874,895,947,975,980,984,986
15,835,855,881,901,950,976,980,984,987
16,844,863,887,906,952,975,981,985,987
17,851,869,892,910,954,977,981,985,987
18,858,874,897,914,956,978,982,986,988
19,863,879,901,917,957,978,982,986,988
20,868,884,905,920,959,979,983,986,988
21,873,888,908,823,960,980,983,987,989
22,878,892,911,926,961,980,984,987,989
23,881,895,914,928,962,981,984,987,989
24,884,898,916,930,963,981,984,987,989
2S,888,901,918,931,964,981,985,988,989
26,891,904,920,933,965,982,985,988,989
27,894,906,923,935,965,982,985,988,990
28,896,908,924,936,966,982,985,988,990
29,898,910,926,937,966,982,985,988,990
30,900,912,927,939,967,983,985,988,900

